name,latitude (Y),longitude (X)
KS1011,-18.18889418,21.01712239
KS1012,-18.30902876,20.79888342
KS1071,-18.18165719,21.02204775
KS1072,-18.31604638,20.79791522
KS11b,-18.19074,21.01196844
KS211,-18.18086825,20.99813766
KS212,-18.29950797,20.79652333
KS21b,-18.29811176,20.79549021
KS231,-18.2009362,21.01702977
KS232,-18.28077294,20.84444984
KS271,-18.18164802,21.02095952
KS272,-18.31807313,20.7991437
KS851,-18.19078822,21.02138875
KS852,-18.31000636,20.79793266
KS911,-18.18344355,21.02286204
KS912,-18.31803212,20.79865659
KS931,-18.19825257,20.99265393
KS932,-18.29065956,20.82194223
KS951,-18.19163414,20.99374739
KS952,-18.27984735,20.83109635
KS971,-18.17178361,21.01019695
KS972,-18.30599807,20.78288953
KS991,-18.18194552,20.99156993
KS992,-18.27912287,20.79192719
NY1091,-17.82616667,18.69852837
NY1092,-17.81607635,18.55724361
NY1111,-17.80265216,18.74169625
NY1112,-17.79017856,18.52084084
NY1131,-17.80671459,18.69268941
NY1132,-17.80013334,18.52937701
NY1151,-17.82225277,18.66970113
NY1152,-17.78668875,18.55666852
NY1171,-17.79707241,18.68407646
NY1172,-17.7841105,18.53197737
NY1191,-17.80598181,18.69835278
NY1192,-17.79967287,18.52774364
NY1211,-17.82037457,18.6671304
NY1212 ,-17.78256373,18.55768376
NY1231,-17.80167778,18.70366851
NY1232,-17.79535773,18.5094853
NY1251,-17.81456172,18.71963289
NY1252,-17.80351882,18.51451075
NY151,-17.83182711,18.69065581
NY152,-17.81839245,18.50855168
NY171,-17.80803989,18.73590996
NY172,-17.79482479,18.50901119
NY191,-17.80626563,18.70660351
NY192,-17.80280662,18.51894047
OH351,-18.0791824,14.02044194
OH352,-18.16489598,14.05866291
OH391,-18.09715984,14.06569889
OH392,-18.16361641,14.01724963
OH411,-18.13625087,14.03705775
OH412,-18.14440111,14.04218466
OH431,-18.12706526,14.04579811
OH432,-18.14619796,14.05584645
OH471,-18.10828925,14.01902407
OH472,-18.1620839,14.04818482
OH511,-18.10355337,14.03722439
OH512,-18.12794548,14.06193839
OH551,-18.13509051,14.02127939
OH552,-18.1669311,14.03916463
OH571,-18.1197515,14.02860416
OH572,-18.16018608,14.0508336
OH591,-18.1332159,14.04657384
OH592,-18.13752512,14.05205569
OH611,-18.12503826,14.03772885
OH612,-18.15100636,14.04712618
OH631,-18.10585426,14.06566358
OH632,-18.15722186,14.0257703
OH651,-18.13972207,14.04051844
OH652,-18.14173084,14.0421537
OK101,-17.99114287,14.60553176
OK102,-17.93611142,14.53566889
OK121,-18.01894621,14.58829489
OK122,-17.94642893,14.56250198
OK1271,-17.99834331,14.58039508
OK1272,-17.96628068,14.51553661
OK1291,-18.0054298,14.57790247
OK1292,-17.92226495,14.49482023
OK1311,-17.98668947,14.59925991
OK1312,-17.94724533,14.52814784
OK1331,-17.9830861,14.6040747
OK1332,-17.94482864,14.52863639
OK1351,-17.99531364,14.60651901
OK1352 ,-17.93010723,14.53582296
OK1371,-18.01950571,14.58967958
OK1372,-17.94862086,14.5655369
OK1391,-17.98242578,14.60358708
OK1392,-17.94146139,14.52777034
OK1411,-17.99446944,14.60349741
OK1412,-17.9243118,14.55824497
OK1431,-17.98357728,14.60347917
OK1432,-17.94421261,14.53601916
OK81,-18.0150203,14.57922186
OK82,-17.96752039,14.5208929
ON1451,-18.02790142,14.48735769
ON1452,-18.05283527,14.54362165
ON1471,-17.98060887,14.48841655
ON1472,-18.05157844,14.50280584
ON1491,-18.00960866,14.45962616
ON1492,-18.03726652,14.53618185
ON1511,-18.02398123,14.48449688
ON1512,-18.05348267,14.53797939
ON1531,-17.98608318,14.46399035
ON1532,-18.04915609,14.5146268
ON1551,-18.01257713,14.46089695
ON1552,-18.05001929,14.47885776
ON1571,-18.02472714,14.48444861
ON1572,-18.0538191,14.53811476
ON1591,-17.99122928,14.49798711
ON1592,-18.02709564,14.51596087
ON1611,-18.00797787,14.48287207
ON1612,-18.02407521,14.54128117
ON21,-18.01841691,14.49894351
ON22,-18.05064802,14.49364212
ON41,-18.02160048,14.45021065
ON42,-18.04335387,14.47872767
ON61,-18.02993285,14.48129893
ON62,-18.05054626,14.47885562
OU291,-19.34472309,14.12386594
OU292,-19.36352504,14.11036298
OU311,-19.35114681,14.14931664
OU312,-19.3868518,14.12315643
OU331,-19.34061645,14.14994221
OU332,-19.36300902,14.12097595
OU671 ,-19.35052267,14.12502755
OU672 ,-19.37334041,14.11320417
OU691,-19.34015721,14.15464015
OU692,-19.3788634,14.12029616
OU711,-19.34475144,14.13029835
OU712,-19.35455834,14.11956998
OU731,-19.35086221,14.12461712
OU732,-19.3769585,14.11322624
OU751,-19.35022921,14.14770427
OU771,-19.34375444,14.15340209
OU772,-19.37229672,14.11744767
OU792,-19.36741207,14.10863517
OU811,-19.33888231,14.15508737
OU812,-19.38498961,14.12315215
OU831,-19.34235516,14.15848216
OU832,-19.37705053,14.12087233
ang11,14.63325172,14.63325172
ang12,-17.95745017,14.6525311
ang13,-17.94543704,14.65214183
ang21,-18.08776903,14.45575884
ang22,-18.07533231,14.46653776
ang23,-18.11280732,14.44877512
anku11,-18.45580413,14.71493291
anku12,-18.43128928,14.70804411
anku13,-18.41233931,14.71817072
anku21,-18.54891083,14.83038414
anku22,-18.59515121,14.81694502
anku23,-18.53939995,14.80261534
dum11,-18.22814984,20.89454429
dum12,-18.24291704,20.84463559
dum13,-18.26074674,20.84848874
dum21,-18.21306529,20.92505186
dum22,-18.19710494,20.93105123
dum23,-18.17759748,20.9582841
ela11,-18.44082773,15.63707187
ela12,-18.47226547,15.63046133
ela13,-18.44918747,15.66105864
ela21,-18.48180513,15.5130841
ela22,-18.46838984,15.52182763
ela23,-18.47435811,15.53182948
eten11,-18.36074354,19.06423737
eten12,-18.35775075,19.05859678
eten13,-18.33525104,19.12178576
eten21,-18.25534305,19.07051027
eten22,-18.25307156,18.99160902
eten23,-18.2721318,19.02135105
ethi11,-18.46411593,14.70039395
ethi12,-18.49276327,14.70430676
ethi13,-18.49592858,14.74857182
ethi21,-18.47683749,14.58677619
ethi22,-18.45426689,14.583291
ethi23,-18.47400069,14.58081574
eya11,-18.17394093,14.25687421
eya12,-18.16378507,14.20368674
eya13,-18.15964498,14.20080029
eya21,-18.10655425,14.21329972
eya22,-18.08726664,14.24430228
eya23,-18.06392599,14.237688
itsa11,-18.48704635,14.95509428
itsa12,-18.48583007,14.99878317
itsa13,-18.50860672,15.01321314
itsa21,-18.39077488,14.66839646
itsa22,-18.37117149,14.69556589
itsa23,-18.37836476,14.67562591
kaak11,-17.83535409,18.63559529
kaak12,-17.79892804,18.6136604
kaak13,-17.80592596,18.60989799
kaak21,-17.82150184,18.47049513
kaak22,-17.80973309,18.4534174
kaak23,-17.77209587,18.49467507
kang11,-17.92969928,18.669133
kang12,-17.92975304,18.68385871
kang13,-17.88072012,18.63709392
kang21,-17.65461363,18.40412383
kang22,-17.63538577,18.44040994
kang23,-17.62491232,18.44139749
KANK11,-17.71342257,18.48628616
kank12,-17.71274039,18.47550791
KANK13,-17.73608813,18.47716069
Kank22,-17.90044084,18.57433047
KANK23,-17.86187241,18.58644621
karo11,-18.01040995,19.28907228
karo12,-18.01710863,19.29221938
karo21,-17.95338585,19.49944603
karo22,-17.96000635,19.50807002
karo23,-17.94661591,19.50681777
kav11,-17.45452064,16.65166114
kav12,-17.45224028,16.65571843
kav13,-17.45013754,16.66193003
kav21,-17.74467799,16.56120894
kav22,-17.75083881,16.57144003
kav23,-17.76125274,16.59611255
kaw11,-17.74031518,16.7611979
kaw12,-17.7241122,16.74778084
kaw13,-17.45546598,16.60870467
kaw21,-17.45777589,16.62980308
kaw22,-17.46606284,16.61428996
kaw23,-17.71884241,16.73852257
kuy11,-17.49694303,16.70864611
kuy12,-17.47644511,16.62314205
kuy13,-17.48163482,16.6644165
kuy21,-17.72122812,16.43605876
kuy22,-17.73438676,16.42730223
kuy23,-17.75684372,16.46328489
MAN11,-17.98683412,20.13993933
MAN12,-18.0128727,20.18525151
MAN13,-18.02318035,20.17901393
MAN21,-17.99989181,20.05612724
MAN22,-17.99395424,20.03202745
MAN23,-18.00758574,20.02346699
map11,-18.22722948,19.01402696
map12,-18.2178042,19.02725184
map13,-18.23304399,19.06458228
map21,-18.37741018,19.02992697
map22,-18.37029959,18.99601603
map23,-18.33148943,19.01574265
11-Mar,-17.7592716,18.7041819
12-Mar,-17.74643887,18.65669862
13-Mar,-17.7469838,18.65738591
21-Mar,-17.82435436,18.76172372
22-Mar,-17.82522118,18.75318223
23-Mar,-17.81405332,18.74382025
nash11,-17.81846692,16.91620401
nash12,-17.82011922,16.91512011
nash13,-17.83171896,16.88579118
nash21,-17.90964605,16.76125694
nash22,-17.8990592,16.76699089
nash23,-17.91672836,16.80010121
ndak11,-17.39284062,16.74119049
ndak12,-17.40432479,16.74363899
ndak13,-17.40835487,16.7404962
ndak21,-17.7046546,16.82452594
ndak22,-17.70576788,16.82837857
ndak23,-17.6867847,16.81179371
nele11,-17.83229975,16.96356732
nele12,-17.83201175,16.98316011
nele13,-17.82604253,16.98585827
nele21,-17.9626732,16.78181341
nele22,-17.97445931,16.78413067
nele23,-17.97619249,16.78208571
ngh11,-17.52069817,16.69542295
ngh12,-17.53474527,16.67021604
ngh13,-17.52787202,16.68586915
ngh21,-17.72183218,16.59215543
ngh22,-17.72157297,16.56892041
ngh23,-17.73630479,16.57406225
nsi11,-17.97569935,19.51233081
nsi12,-17.97332971,19.55016491
nsi13,-17.96672425,19.55967694
nsi21,-17.94571987,19.30859523
nsi22,-17.96149576,19.27579148
nsi23,-17.93283681,19.27788313
OKA11,-17.72583345,13.67305994
OKA12,-17.73808671,13.64720437
OKA13,-17.71589672,13.67064143
oka21,-17.61907627,13.67659966
oka22,-17.5564934,13.68269379
oka23,-17.57544539,13.67962312
okal11,-18.49119087,16.41364361
okal12,-18.49594198,16.41162403
okal13,-18.49441018,16.41411695
okal21,-18.481986,16.36201903
okal22,-18.48551097,16.39315715
okal23,-18.47902573,16.36545212
okam11,-17.96839779,14.71768351
OKAM12,-17.98048454,14.71032965
OKAM13,-18.00310118,14.66522597
OKAM21,-17.97795037,14.32301519
okam22,-18.01106301,14.33778054
OKAM23,-17.96339961,14.30097763
okan11,-18.83443763,14.08865293
okan12,-18.82271511,14.166945
okan13,-18.78497307,14.11017541
okan21,-18.73090803,14.04100167
okan22,-18.68607946,13.99875324
okan23,-18.75052213,14.07787252
olmp11,-18.41893782,14.94662554
olmp12,-18.41239149,14.93870061
OLMP13,-18.38363749,14.97153487
olmp21,-18.41788246,14.65845521
olmp22,-18.42547746,14.66211771
olmp23,-18.45969526,14.67639295
olwi11,-18.32697248,15.61448666
olwi12,-18.30372153,15.64965039
olwi13,-18.31494026,15.56688318
olwi21,-18.2618542,15.58778009
olwi22,-18.29890952,15.64902426
olwi23,-18.28676875,15.57448793
ombo11,-18.49054184,16.36209821
ombo12,-18.49836489,16.37050213
ombo13,-18.49614211,16.36173089
ombo21,-18.4404019,16.51395582
ombo22,-18.44077256,16.5152592
ombo23,-18.44663825,16.51667782
omi11,-19.18667611,14.05754932
omi12,-19.15485171,14.0631605
omi13,-19.16100319,14.03341125
omi21,-19.238824,14.21476054
omi22,-19.28642351,14.20915828
omi23,-19.30143822,14.19297488
omus11,-18.43782165,14.82664713
omus12,-18.43240521,14.85008332
omus13,-18.42968244,14.83320951
omus21,-18.53940273,14.97711715
omus22,-18.49975446,14.95392098
omus23,-18.50794458,14.9435888
onan12,-18.06087121,14.38125337
onan13,-18.0303288,14.43810452
onan22,-18.10905073,14.39018619
onan23,-18.09952371,14.42302542
ondu11,-18.87007861,14.47308552
ondu12,-18.91478369,14.50707944
ondu13,-18.92357105,14.49582607
ondu21,-18.43727496,14.2568637
ondu22,-18.43048351,14.23629611
ondu23,-18.41937301,14.23113951
OSHI11,-18.44422583,14.7602342
oshi12,-18.39601717,14.80977673
oshi13,-18.3913149,14.80259073
oshi21,-18.49002322,14.85379716
oshi22,-18.4912001,14.90154853
OSHI23,-18.50146645,14.8343408
othje11,-18.4491536,13.90625959
OTHJE12,-18.4290191,13.86879679
othje13,-18.40066156,13.8961446
othje21,-18.51259581,13.88365816
othje22,-18.50843529,13.88459638
othje23,-18.55969546,13.95060421
otje11,-17.62273409,14.25281113
otje12,-17.67567186,14.25205255
otje13,-17.6627631,14.22814328
otje21,-17.80047077,14.27228676
otje22,-17.8120153,14.29344181
otje23,-17.77245156,14.27336105
otjh11,-18.1759604,14.19266903
otjh12,-18.14391524,14.12425285
otjh13,-18.15074008,14.10399008
otjh21,-18.07312968,14.16798277
otjh22,-18.05479433,14.2006046
otjh23,-18.06749304,14.18019132
otjj11,-18.0734986,13.94182415
otjj12,-18.07604517,13.98184619
otjj13,-18.13417233,13.9670945
otjj21,-18.19076097,13.95937772
otjj22,-18.17235648,14.00106906
otjj23,-18.14332255,13.95238639
ouru11,-18.77722897,14.34734053
ouru12,-18.79753962,14.44877052
ouru13,-18.77925214,14.42196513
ouru21,-18.74672478,14.28129988
ouru22,-18.70746846,14.36426493
ouru23,-18.73208685,14.2994152
OVI11,-18.02867285,13.99523761
Ovi12,-18.02026704,14.07397024
OVI13,-18.06222715,14.04353794
OVI14,-18.00519213,14.07423759
OVI21,-18.19636168,14.04529131
ovi22,-18.18470379,14.11021519
OVI23,-18.19185538,14.06776215
ovi24,-18.18657091,14.15322343
sam11,-17.996774,19.26427278
sam12,-17.99784573,19.24567753
sam13,-17.95757642,19.2425402
sam21,-18.02994095,19.48494426
sam22,-18.04748359,19.45079756
sam23,-18.05079093,19.45128266
sham11,-18.15247876,20.95020012
sham12,-18.11248185,20.97846052
sham13,-18.13906465,20.98355799
sham21,-18.14024212,20.81156234
sham23,-18.1761696,20.85236175
twah11,-17.95406671,16.71153764
twah12,-17.96396078,16.70946888
twah13,-17.96319281,16.67774919
twah21,-17.90427705,16.97139222
twah22,-17.91887836,16.97328492
twah23,-17.91416617,16.97262883
wang11,-17.73319968,16.80576532
wang12,-17.73811185,16.81019896
wang13,-17.43947976,16.70764463
wang21,-17.44379696,16.7319134
wang22,-17.45190999,16.72028994
wang23,-17.73231406,16.81599437
