doi,lat,lng,HWSD_soil,slate_weather,topsoil_texture,landcover,growing_degree_days,soil_depth,old_elevation,new_elevation,africa_sis_sca,africa_sis_twi,slope,precipitation,aridity_index,country,aspect,worldkgeiger,fao_lgp,cereals_suitability_low_input,cereals_suitability_hight_input,namibia_slope (%),namibia_slope_reclassofied,namibia_plane_curvature,namibia_profile_curvature,namibia_dem,namibia_curvature
KS1011,-18.18889418,21.01712239,18687,155922,13,43,6422,40,1080,1081,1242,18,0,583,3163,516,90,6,5,5,3,0.38385132,1,0.017476061,-0.005825354,1082,0.023301415
KS1012,-18.30902876,20.79888342,18606,155921,13,43,6340,40,1091,1092,278,15,0,573,3107,516,63,6,5,5,4,1.228923798,1,0,0,1091,0
KS1071,-18.18165719,21.02204775,18687,155922,13,43,6422,40,1082,1081,92,14,0,584,3163,516,172,6,5,5,3,0.959628284,1,0,0,1081,0
KS1072,-18.31604638,20.79791522,18606,155921,13,43,6340,40,1091,1091,92,14,0,573,3107,516,180,6,5,5,4,0.542847753,1,0,-0.011650708,1091,0.011650708
KS11b,-18.19074,21.01196844,18687,155922,13,43,6422,40,1082,1082,93,15,0,583,3163,516,252,6,5,5,3,0.429158807,1,0,0.011650708,1082,-0.011650708
KS211,-18.18086825,20.99813766,18687,155921,13,43,6340,40,1081,1081,278,36,0,583,3163,516,225,6,5,5,3,0.19192566,1,0,0,1081,0
KS212,-18.29950797,20.79652333,18606,155921,13,43,6340,40,1091,1091,185,14,0,574,3112,516,172,6,5,5,4,0.542847753,1,0,0.011650708,1091,-0.011650708
KS21b,-18.29811176,20.79549021,18606,155921,13,43,6340,40,1091,1091,1391,17,0,574,3112,516,297,6,5,5,4,0.429158807,1,-0.023301415,0.011650708,1090,-0.034952123
KS231,-18.2009362,21.01702977,18687,155922,13,31,6422,40,1080,1081,278,15,0,582,3159,516,117,6,5,5,3,0.606922209,1,0,0.011650708,1080,-0.011650708
KS232,-18.28077294,20.84444984,18606,155921,13,58,6340,40,1089,1090,93,14,0,577,3119,516,0,6,5,5,4,0.429158807,1,0.008738031,-0.014563384,1090,0.023301415
KS271,-18.18164802,21.02095952,18687,155922,13,43,6422,40,1082,1081,184,14,0,584,3163,516,180,6,5,5,3,1.085695505,1,0,0,1081,0
KS272,-18.31807313,20.7991437,18606,155921,13,43,6340,40,1090,1090,3464,19,0,570,3089,516,270,6,5,5,4,0.19192566,1,0,0,1090,0
KS851,-18.19078822,21.02138875,18687,155922,13,43,6422,40,1080,1082,65,14,0,583,3163,516,315,6,5,5,3,0.271423876,1,0.023301415,-0.011650708,1082,0.034952123
KS852,-18.31000636,20.79793266,18606,155921,13,43,6340,40,1091,1091,392,16,0,573,3107,516,207,6,5,5,4,0.429158807,1,0.023301415,-0.011650708,1092,0.034952123
KS911,-18.18344355,21.02286204,18687,155922,13,43,6422,40,1080,1081,92,15,0,583,3163,516,0,6,5,5,3,0,1,0,0,1081,0.04660283
KS912,-18.31803212,20.79865659,18606,155921,13,43,6340,40,1090,1090,3464,19,0,570,3089,516,45,6,5,5,4,0.19192566,1,0,0,1090,0
KS931,-18.19825257,20.99265393,18687,155921,13,31,6340,40,1081,1082,92,15,0,581,3152,516,72,6,5,5,3,0.271423876,1,0,-0.011650708,1082,0.011650708
KS932,-18.29065956,20.82194223,18606,155921,13,58,6340,40,1089,1090,65535,22,0,575,3114,516,198,6,5,5,4,0.606922209,1,0,0.011650708,1090,-0.011650708
KS951,-18.19163414,20.99374739,18687,155921,13,43,6340,40,1081,1081,371,16,0,582,3161,516,45,6,5,5,3,0.38385132,1,-0.011650708,0.011650708,1081,-0.023301415
KS952,-18.27984735,20.83109635,18606,155921,13,58,6340,40,1089,1088,93,15,0,575,3119,516,45,6,5,5,4,0.429158807,1,0,0.011650708,1088,-0.011650708
KS971,-18.17178361,21.01019695,18687,155922,13,43,6422,40,1082,1083,196,16,0,585,3167,516,8,6,5,5,3,0.858317614,1,-0.009320566,0.002330142,1083,-0.011650708
KS972,-18.30599807,20.78288953,18606,155921,13,43,6340,40,1093,1092,92,14,0,573,3105,516,315,6,5,5,4,0.38385132,1,-0.005825354,0.017476061,1092,-0.023301415
KS991,-18.18194552,20.99156993,18687,155921,13,43,6340,40,1081,1081,196,36,0,583,3157,516,180,6,5,5,3,0.19192566,1,0,0,1081,0
KS992,-18.27912287,20.79192719,18606,155921,13,58,6340,40,1091,1092,392,17,0,576,3125,516,90,6,5,5,4,0.542847753,1,0.023301415,-0.011650708,1092,0.034952123
NY1091,-17.82616667,18.69852837,18615,155197,13,43,6366,40,1128,1127,196,14,0,564,2957,516,180,6,6,5,4,1.628543258,1,0,-0.011650708,1127,0.011650708
NY1092,-17.81607635,18.55724361,18615,155197,13,43,6366,40,1128,1130,65,14,0,578,3034,516,326,6,6,5,4,0.978632689,1,0.011650708,-0.011650708,1130,0.023301415
NY1111,-17.80265216,18.74169625,18606,155197,13,43,6366,40,1128,1127,184,14,0,562,2945,516,329,6,6,5,4,0.978632689,1,0.005825354,0.005825354,1127,0
NY1112,-17.79017856,18.52084084,18606,155197,13,43,6366,40,1133,1133,276,15,0,584,3055,516,90,6,6,5,4,0.542847753,1,0.023301415,-0.011650708,1133,0.034952123
NY1131,-17.80671459,18.69268941,18617,155197,13,43,6366,40,1110,1103,645,14,0,562,2934,516,13,6,6,5,4,5.004808903,3,-0.000548269,0.011102439,1104,-0.011650708
NY1132,-17.80013334,18.52937701,18617,155197,13,43,6366,40,1114,1114,276,13,0,577,3009,516,185,6,6,5,4,6.761124611,3,0.024246067,-0.022356763,1115,0.04660283
NY1151,-17.82225277,18.66970113,18615,155197,13,43,6366,40,1127,1126,65535,21,0,565,2961,516,225,6,6,5,4,0.606922209,1,-0.011650708,0.011650708,1126,-0.023301415
NY1152,-17.78668875,18.55666852,18606,155197,13,43,6366,40,1130,1130,184,14,0,580,3035,516,198,6,6,5,4,0.429158807,1,0,0.011650708,1130,-0.011650708
NY1171,-17.79707241,18.68407646,18606,155197,13,43,6366,40,1127,1126,92,14,0,564,2952,516,157,6,6,5,4,1.033551335,1,0.006990425,-0.004660283,1126,0.011650708
NY1172,-17.7841105,18.53197737,18606,155197,13,43,6366,40,1131,1131,93,15,0,583,3052,516,180,6,6,5,4,0.19192566,1,0,0,1131,0.023301415
NY1191,-17.80598181,18.69835278,18617,155197,13,43,6366,40,1110,1098,3617,17,0,562,2934,516,191,6,6,5,4,0.691997826,1,0,0.034952123,1098,-0.034952123
NY1192,-17.79967287,18.52774364,18606,155197,13,43,6366,40,1129,1118,369,13,0,582,3042,516,184,6,6,5,4,6.379904747,3,0.023301415,-0.023301415,1114,0.04660283
NY1211,-17.82037457,18.6671304,18615,155197,13,43,6366,40,1127,1127,184,14,0,565,2961,516,207,6,6,5,4,1.033551335,1,0.011650708,0,1127,0.011650708
NY1212 ,-17.78256373,18.55768376,18606,155197,13,43,6366,40,1133,1133,65,14,0,580,3035,516,90,6,6,5,4,0.542847753,1,0,0.011650708,1132,-0.011650708
NY1231,-17.80167778,18.70366851,18617,155197,13,43,6366,40,1125,1124,65,13,0,563,2931,516,217,6,6,5,4,0.858317614,1,0,0.011650708,1124,-0.011650708
NY1232,-17.79535773,18.5094853,18606,155197,13,43,6366,40,1132,1132,185,14,0,584,3055,516,149,6,6,5,4,0.978632689,1,-0.004660283,0.03029184,1131,-0.034952123
NY1251,-17.81456172,18.71963289,18617,155197,13,43,6366,40,1098,1099,1298,15,0,555,2899,516,68,6,6,5,4,1.81062305,1,-0.010965372,0.023986751,1097,-0.034952123
NY1252,-17.80351882,18.51451075,18617,155197,13,43,6366,40,1103,1105,1577,16,0,579,3020,516,167,6,6,5,4,2.833748341,2,-0.008065875,0.038536955,1105,-0.04660283
NY151,-17.83182711,18.69065581,18615,155197,13,43,6366,40,1127,1137,65,36,0,563,2961,516,101,6,6,5,4,0.429158807,1,0,-0.011650708,1137,0.011650708
NY152,-17.81839245,18.50855168,18615,155197,13,43,6366,40,1130,1131,93,36,0,581,3040,516,0,6,6,5,4,0,1,0,0,1131,0
NY171,-17.80803989,18.73590996,18606,155197,13,43,6366,40,1128,1129,185,15,0,562,2945,516,198,6,6,5,4,0.606922209,1,0,-0.011650708,1128,0.011650708
NY172,-17.79482479,18.50901119,18606,155197,13,43,6366,40,1132,1132,92,13,0,584,3055,516,149,6,6,5,4,0.959628284,1,0.023301415,-0.023301415,1134,0.04660283
NY191,-17.80626563,18.70660351,18617,155197,13,43,6366,40,1125,1105,921,14,0,563,2931,516,191,6,6,5,4,5.802379608,3,-0.000372823,0.011277885,1105,-0.011650708
NY192,-17.80280662,18.51894047,18617,155197,13,43,6366,40,1101,1105,65535,26,0,576,3020,516,325,6,6,5,4,1.151553988,1,0.005825354,0.029126769,1104,-0.023301415
OH351,-18.0791824,14.02044194,18673,155908,5,41,4888,40,1344,1343,93,13,0,353,2111,516,264,6,5,6,6,2.342751265,2,0.010530448,-0.012770968,1344,0.023301415
OH352,-18.16489598,14.05866291,18673,155908,5,41,4888,14,1311,1330,131,11,0,346,2066,516,107,6,5,6,6,20.46327209,5,0.061541189,0.014938358,1339,0.04660283
OH391,-18.09715984,14.06569889,18673,155908,5,41,4888,14,1307,1306,92,15,1,350,2074,516,18,6,5,6,6,0.691997826,1,0,-0.011650708,1307,0.011650708
OH392,-18.16361641,14.01724963,18681,155908,13,41,4888,14,1334,1337,92,13,0,344,2063,516,15,6,5,6,6,1.582659483,1,0.01514592,-0.008155495,1338,0.023301415
OH411,-18.13625087,14.03705775,18681,155908,13,41,4888,14,1320,1319,65535,22,0,346,2059,516,72,6,5,6,6,0.429158807,1,0.023301415,-0.034952123,1321,0.058253538
OH412,-18.14440111,14.04218466,18673,155908,5,41,4888,14,1317,1317,196,16,0,346,2068,516,135,6,5,6,6,0.38385132,1,0,0.011650708,1317,-0.011650708
OH431,-18.12706526,14.04579811,18673,155908,5,41,4888,14,1394,1381,131,11,0,359,2120,516,49,6,5,6,6,15.03036499,5,0.02014284,-0.084713526,1403,0.104856372
OH432,-18.14619796,14.05584645,18673,155908,5,41,4888,14,1334,1369,92,11,1,349,2104,516,178,6,5,6,6,5.579064846,3,0.070914425,-0.1271476,1368,0.198062032
OH471,-18.10828925,14.01902407,18681,155908,13,41,4888,14,1335,1332,65,14,0,349,2084,516,151,6,5,6,6,0.791329741,1,-0.008738031,-0.008738031,1333,0
OH472,-18.1620839,14.04818482,18601,155908,13,41,4888,14,1316,1315,93,14,0,346,2058,516,45,6,5,6,6,0.767702639,1,0,0,1316,0
OH511,-18.10355337,14.03722439,18673,155908,5,41,4888,14,1408,1390,1014,14,0,360,2150,516,13,6,5,6,6,16.13660049,5,0.004119398,0.155578598,1399,-0.151459202
OH512,-18.12794548,14.06193839,18673,155908,5,41,4888,14,1309,1314,184,13,0,347,2059,516,119,6,5,6,6,3.838513136,2,0.003978291,0.038930412,1311,-0.034952123
OH551,-18.13509051,14.02127939,18681,155908,13,41,4888,14,1330,1331,65,14,0,346,2066,516,27,6,5,6,6,1.119109273,1,0.023301415,0,1331,0.023301415
OH552,-18.1669311,14.03916463,18601,155908,13,41,4888,14,1324,1324,92,15,0,344,2057,516,315,6,5,6,6,0.429158807,1,0,-0.011650708,1324,0.011650708
OH571,-18.1197515,14.02860416,18681,155908,13,41,4888,14,1327,1327,261,16,0,349,2081,516,180,6,5,6,6,0.542847753,1,0,-0.011650708,1327,0.011650708
OH572,-18.16018608,14.0508336,18673,155908,5,41,4888,14,1314,1315,553,15,1,346,2076,516,230,6,5,6,6,4.990067005,2,0.005825354,0.075729601,1316,-0.069904245
OH591,-18.1332159,14.04657384,18673,155908,5,41,4888,14,1394,1390,65,11,0,359,2120,516,29,6,5,6,6,10.25860119,4,-0.001491088,-0.199553117,1393,0.198062032
OH592,-18.13752512,14.05205569,18673,155908,5,41,4888,14,1313,1389,92,11,0,348,2082,516,37,6,5,6,6,14.87888145,4,0.117256872,-0.092455864,1384,0.209712744
OH611,-18.12503826,14.03772885,18673,155908,5,41,4888,14,1323,1330,184,12,1,348,2072,516,249,6,5,6,6,7.73677063,3,0.010947648,0.057550479,1330,-0.04660283
OH612,-18.15100636,14.04712618,18601,155908,13,41,4888,14,1316,1317,261,13,1,346,2058,516,251,6,5,6,6,7.12455368,3,-0.002741343,0.102115028,1318,-0.104856372
OH631,-18.10585426,14.06566358,18673,155908,5,41,4888,14,1311,1310,184,14,0,350,2075,516,270,6,5,6,6,0.429158807,1,0,0,1310,0
OH632,-18.15722186,14.0257703,18681,155908,13,41,4888,14,1326,1329,92,14,0,346,2065,516,31,6,5,6,6,0.959628284,1,-0.002912677,-0.002912677,1329,0
OH651,-18.13972207,14.04051844,18681,155908,13,41,4888,14,1320,1320,93,14,0,346,2059,516,162,6,5,6,6,0.858317614,1,0.009320566,-0.002330142,1319,0.011650708
OH652,-18.14173084,14.0421537,18673,155908,5,41,4888,14,1317,1319,93,14,0,346,2068,516,225,6,5,6,6,0.19192566,1,0,0,1319,0.04660283
OK101,-17.99114287,14.60553176,18608,155189,13,41,5586,40,1129,1131,131,15,0,387,2120,516,90,6,5,6,5,0.271423876,1,0,0,1131,0
OK102,-17.93611142,14.53566889,18608,155189,13,41,5586,40,1139,1138,65535,36,0,383,2111,516,225,6,5,6,5,0.429158807,1,-0.008738031,0.014563384,1138,-0.023301415
OK121,-18.01894621,14.58829489,18608,155909,13,51,5469,40,1139,1139,5286,18,0,386,2123,516,29,6,5,6,5,0.691997826,1,0,-0.011650708,1139,0.011650708
OK122,-17.94642893,14.56250198,18608,155189,13,41,5586,40,1143,1145,93,13,0,387,2126,516,342,6,5,6,5,1.119109273,1,-0.009320566,0.002330142,1144,-0.011650708
OK1271,-17.99834331,14.58039508,18608,155189,13,41,5586,40,1136,1135,65535,23,0,384,2107,516,162,6,5,6,5,0.429158807,1,0,0,1135,-0.04660283
OK1272,-17.96628068,14.51553661,18608,155189,13,41,5586,40,1148,1149,196,16,0,379,2096,516,333,6,5,6,5,0.606922209,1,-0.011650708,0.011650708,1149,-0.023301415
OK1291,-18.0054298,14.57790247,18608,155909,13,41,5469,40,1137,1137,92,14,0,384,2106,516,135,6,5,6,5,0.271423876,1,0,0,1137,0
OK1292,-17.92226495,14.49482023,18608,155188,13,41,5152,40,1144,1144,93,13,0,378,2091,516,56,6,5,6,5,0.978632689,1,-0.004660283,-0.01631099,1144,0.011650708
OK1311,-17.98668947,14.59925991,18608,155189,13,41,5586,40,1132,1131,7976,18,0,386,2117,516,169,6,5,6,5,0.606922209,1,0,-0.011650708,1131,0.011650708
OK1312,-17.94724533,14.52814784,18608,155189,13,41,5586,40,1143,1142,196,36,0,382,2108,516,45,6,5,6,5,0.429158807,1,0,-0.011650708,1143,0.011650708
OK1331,-17.9830861,14.6040747,18608,155189,13,41,5586,40,1130,1129,92,15,0,387,2121,516,135,6,5,6,5,0.542847753,1,0,-0.011650708,1130,0.011650708
OK1332,-17.94482864,14.52863639,18608,155189,13,41,5586,40,1143,1142,93,15,0,382,2108,516,0,6,5,6,5,0.19192566,1,0,0,1142,0
OK1351,-17.99531364,14.60651901,18608,155189,13,41,5586,40,1130,1132,92,13,0,387,2121,516,225,6,5,6,5,0.978632689,1,0.004660283,-0.006990425,1131,0.011650708
OK1352 ,-17.93010723,14.53582296,18608,155189,13,41,5586,40,1138,1140,92,13,0,383,2109,516,198,6,5,6,5,0.429158807,1,0.023301415,-0.011650708,1140,0.034952123
OK1371,-18.01950571,14.58967958,18608,155909,13,51,5469,40,1139,1138,276,14,0,386,2123,516,18,6,5,6,5,1.28747642,1,-0.009903101,0.013398314,1138,-0.023301415
OK1372,-17.94862086,14.5655369,18608,155189,13,41,5586,40,1143,1142,92,13,0,387,2126,516,198,6,5,6,5,1.820766687,1,0.003584833,-0.008065875,1144,0.011650708
OK1391,-17.98242578,14.60358708,18608,155189,13,41,5586,40,1130,1130,92,15,0,387,2121,516,79,6,5,6,5,0.691997826,1,0,0.011650708,1130,-0.011650708
OK1392,-17.94146139,14.52777034,18608,155189,13,41,5586,40,1141,1142,261,15,0,382,2105,516,54,6,5,6,5,0.791329741,1,-0.008738031,0.014563384,1141,-0.023301415
OK1411,-17.99446944,14.60349741,18608,155189,13,41,5586,40,1130,1130,92,13,0,387,2121,516,126,6,5,6,5,1.167438149,1,0.002912677,0.002912677,1131,0
OK1412,-17.9243118,14.55824497,18608,155189,13,41,5586,40,1138,1140,93,14,0,385,2116,516,45,6,5,6,5,1.033551335,1,0.020971274,-0.01398085,1139,0.034952123
OK1431,-17.98357728,14.60347917,18608,155189,13,41,5586,40,1129,1130,588,16,0,387,2120,516,90,6,5,6,5,0.542847753,1,0,0.011650708,1130,-0.011650708
OK1432,-17.94421261,14.53601916,18608,155189,13,41,5586,40,1142,1142,458,17,0,383,2110,516,135,6,5,6,5,0.429158807,1,0,0.011650708,1142,-0.011650708
OK81,-18.0150203,14.57922186,18608,155909,13,41,5469,40,1138,1139,184,16,0,385,2118,516,0,6,5,6,5,0.542847753,1,0,-0.011650708,1139,0.011650708
OK82,-17.96752039,14.5208929,18608,155189,13,41,5586,40,1149,1150,93,13,0,379,2092,516,288,6,5,6,5,1.28747642,1,0.016893527,-0.006407889,1149,0.023301415
ON1451,-18.02790142,14.48735769,18608,155908,13,41,4888,40,1155,1155,10505,18,0,374,2077,516,90,6,5,6,5,0.542847753,1,0,0.011650708,1155,-0.011650708
ON1452,-18.05283527,14.54362165,18608,155909,13,51,5469,40,1150,1151,92,13,0,378,2083,516,90,6,5,6,5,1.357119322,1,0,0,1151,0
ON1471,-17.98060887,14.48841655,18608,155188,13,41,5152,40,1156,1156,93,15,0,376,2088,516,0,6,5,6,5,0.429158807,1,0,0.011650708,1156,-0.011650708
ON1472,-18.05157844,14.50280584,18608,155909,13,51,5469,40,1151,1150,184,16,0,374,2074,516,0,6,5,6,5,0.19192566,1,0,0,1150,0
ON1491,-18.00960866,14.45962616,18608,155908,13,41,4888,40,1164,1164,93,14,0,374,2082,516,236,6,5,6,5,0.429158807,1,0,-0.011650708,1164,0.011650708
ON1492,-18.03726652,14.53618185,18608,155909,13,51,5469,40,1150,1152,185,14,0,380,2104,516,180,6,5,6,5,1.085695505,1,0,0,1153,0
ON1511,-18.02398123,14.48449688,18608,155908,13,51,4888,40,1156,1157,92,15,0,375,2082,516,135,6,5,6,5,0.19192566,1,0,0,1157,0
ON1512,-18.05348267,14.53797939,18608,155909,13,51,5469,40,1152,1151,1298,16,0,378,2089,516,225,6,5,6,5,0.814271629,1,0.023301415,-0.023301415,1153,0.04660283
ON1531,-17.98608318,14.46399035,18608,155188,13,51,5152,40,1160,1161,92,15,0,372,2067,516,315,6,5,6,5,0.19192566,1,0,0,1161,0.023301415
ON1532,-18.04915609,14.5146268,18608,155909,13,51,5469,40,1151,1151,1503,18,0,377,2088,516,72,6,5,6,5,0.429158807,1,0,0.011650708,1151,-0.011650708
ON1551,-18.01257713,14.46089695,18608,155908,13,41,4888,40,1164,1163,184,14,0,374,2082,516,162,6,5,6,5,0.858317614,1,0.009320566,-0.025631556,1163,0.034952123
ON1552,-18.05001929,14.47885776,18608,155908,13,51,4888,40,1154,1153,2040,18,0,372,2070,516,162,6,5,6,5,0.542847753,1,0,0.011650708,1153,-0.011650708
ON1571,-18.02472714,14.48444861,18608,155908,13,41,4888,40,1156,1157,184,16,0,375,2082,516,135,6,5,6,5,0.19192566,1,0,0,1157,0
ON1572,-18.0538191,14.53811476,18608,155909,13,51,5469,40,1152,1152,1298,16,0,378,2089,516,275,6,5,6,5,0.791329741,1,-0.01631099,0.018641133,1151,-0.034952123
ON1591,-17.99122928,14.49798711,18608,155188,13,41,5152,40,1156,1155,93,15,0,379,2103,516,135,6,5,6,5,0.38385132,1,0,0.011650708,1155,-0.011650708
ON1592,-18.02709564,14.51596087,18608,155909,13,51,5469,40,1154,1153,327,15,0,377,2087,516,270,6,5,6,5,0.542847753,1,-0.023301415,0.011650708,1153,-0.034952123
ON1611,-18.00797787,14.48287207,18608,155908,13,41,4888,40,1158,1158,196,14,0,374,2077,516,158,6,5,6,5,0.429158807,1,0,0.011650708,1157,-0.011650708
ON1612,-18.02407521,14.54128117,18608,155909,13,41,5469,40,1150,1150,65535,22,0,380,2099,516,0,6,5,6,5,0.542847753,1,0,0.011650708,1150,-0.011650708
ON21,-18.01841691,14.49894351,18608,155908,13,41,4888,40,1155,1155,371,15,0,376,2090,516,0,6,5,6,5,0.606922209,1,-0.011650708,0.011650708,1155,-0.023301415
ON22,-18.05064802,14.49364212,18608,155908,13,51,4888,40,1150,1151,65535,24,0,373,2074,516,108,6,5,6,5,0.814271629,1,0,0.023301415,1150,-0.023301415
ON41,-18.02160048,14.45021065,18608,155908,13,51,4888,40,1162,1163,92,14,0,370,2058,516,225,6,5,6,5,0.767702639,1,0.01398085,0.002330142,1163,0.011650708
ON42,-18.04335387,14.47872767,18608,155908,13,51,4888,40,1154,1154,92,14,0,371,2061,516,45,6,5,6,5,0.429158807,1,0,0,1153,-0.023301415
ON61,-18.02993285,14.48129893,18608,155908,13,41,4888,40,1161,1161,93,15,0,373,2072,516,18,6,5,6,5,1.228923798,1,0.023301415,0,1160,0.023301415
ON62,-18.05054626,14.47885562,18608,155908,13,51,4888,40,1154,1153,2040,18,0,372,2070,516,162,6,5,6,5,0.542847753,1,0,0.011650708,1153,-0.011650708
OU291,-19.34472309,14.12386594,18642,157348,11,51,4772,14,870,871,371,15,0,216,1275,516,288,4,4,6,6,0.959628284,1,-0.023301415,0.011650708,871,-0.034952123
OU292,-19.36352504,14.11036298,18642,157348,11,51,4772,14,860,862,65,36,0,211,1257,516,288,4,4,6,6,0.38385132,1,0.023301415,-0.011650708,861,0.034952123
OU311,-19.35114681,14.14931664,18642,157348,11,51,4772,14,884,892,92,13,0,221,1310,516,18,4,4,6,6,1.119109273,1,0.018641133,-0.01631099,891,0.034952123
OU312,-19.3868518,14.12315643,18642,157348,11,51,4772,14,867,929,93,10,0,211,1300,516,343,4,4,6,6,22.63258553,5,0.161615521,0.080060564,917,0.081554957
OU331,-19.34061645,14.14994221,18642,157348,11,51,4772,14,890,895,93,12,0,223,1315,516,344,4,4,6,6,1.957265377,1,-0.01398085,0.03262198,890,-0.04660283
OU332,-19.36300902,14.12097595,18642,157348,11,51,4772,14,865,866,92,13,0,214,1276,516,252,4,4,6,6,0.858317614,1,-0.01398085,0.020971274,865,-0.034952123
OU671 ,-19.35052267,14.12502755,18642,157348,11,51,4772,14,876,872,185,14,0,217,1291,516,297,4,4,6,6,1.119109273,1,0.023301415,0,873,0.023301415
OU672 ,-19.37334041,14.11320417,18642,157348,11,51,4772,14,859,862,65,13,0,211,1258,516,304,4,4,6,6,1.033551335,1,0.011650708,0,861,0.011650708
OU691,-19.34015721,14.15464015,18642,157348,11,51,4772,14,902,917,65,11,0,227,1339,516,186,4,4,6,6,9.965359688,3,0.108448409,-0.019709375,911,0.12815778
OU692,-19.3788634,14.12029616,18642,157348,11,51,4772,14,864,870,92,12,0,211,1269,516,141,4,4,6,6,0.429158807,1,0.023301415,-0.034952123,869,0.058253538
OU711,-19.34475144,14.13029835,18642,157348,11,51,4772,14,876,879,184,13,0,218,1296,516,310,4,4,6,6,1.167438149,1,-0.011650708,0.023301415,876,-0.034952123
OU712,-19.35455834,14.11956998,18642,157348,11,51,4772,14,867,867,327,17,0,214,1276,516,281,4,4,6,6,1.383995652,1,0,0.023301415,867,-0.023301415
